u,v,key,osmid,name,highway,oneway,length,lanes,ref,maxspeed,geometry
9532608571,81800560,0,9975998,Central Avenue,unclassified,False,9.621,,,,"LINESTRING (-97.1452774 33.2083135, -97.1452799 33.208227)"
9532608571,5075741872,0,9975998,Central Avenue,unclassified,False,15.928,,,,"LINESTRING (-97.1452774 33.2083135, -97.1452732 33.2084567)"
9532608572,81800560,0,365519037,Maple Street,unclassified,True,5.127,,,,"LINESTRING (-97.1452248 33.2082265, -97.1452799 33.208227)"
9537303501,3037310658,0,9973983,Bernard Street,tertiary,False,55.931,,,,"LINESTRING (-97.1415321 33.207063, -97.14153 33.20656)"
9537303501,2626234229,0,9973983,Bernard Street,tertiary,False,10.804,,,,"LINESTRING (-97.1415321 33.207063, -97.1415364 33.2071601)"
9539287294,7078930730,0,9980863,Avenue D,residential,False,18.505,,,,"LINESTRING (-97.1528758 33.2146032, -97.1528788 33.2144368)"
9539287294,5060888360,0,9980863,Avenue D,residential,False,8.396,,,,"LINESTRING (-97.1528758 33.2146032, -97.1528744 33.2146787)"
9539287299,81892545,0,9972526,Miller Street,residential,False,7.553,,,,"LINESTRING (-97.1536618 33.2147467, -97.1536641 33.2146788)"
9539287299,8822903943,0,9972526,Miller Street,residential,False,101.06,,,,"LINESTRING (-97.1536618 33.2147467, -97.1536317 33.2156552)"
9540212029,9547025378,0,365519033,Avenue D,residential,False,105.002,,,,"LINESTRING (-97.1528927 33.2126053, -97.1528922 33.211661)"
9540212029,81976537,0,365519033,Avenue D,residential,False,7.906,,,,"LINESTRING (-97.1528927 33.2126053, -97.1528927 33.2126764)"
9540424006,81958101,0,9978970,North Avenue B,residential,False,35.454,,,,"LINESTRING (-97.1484198 33.2156197, -97.1484263 33.2153009)"
9540424006,81797239,0,9978970,North Avenue B,residential,False,8.519,,,,"LINESTRING (-97.1484198 33.2156197, -97.1484182 33.2156963)"
9540424008,2665604819,0,9982160,IOOF Street,residential,False,11.353,,,,"LINESTRING (-97.1402215 33.2092888, -97.140221 33.2091867)"
9540424008,5970979177,0,9982160,IOOF Street,residential,False,48.771,,,,"LINESTRING (-97.1402215 33.2092888, -97.1402235 33.2097274)"
9540501664,8593878462,0,365519044,West Hickory Street,secondary,True,41.733,2,,,"LINESTRING (-97.1483563 33.2146605, -97.1479077 33.2146608)"
9540501665,3695224173,0,739641946,South Avenue B,unclassified,False,68.665,,,,"LINESTRING (-97.1484361 33.2145939, -97.1484418 33.2139764)"
9540501665,2657172880,0,739641946,South Avenue B,unclassified,False,7.395,,,,"LINESTRING (-97.1484361 33.2145939, -97.1484355 33.2146604)"
9540501669,2657172880,0,152774047,West Hickory Street,secondary,True,8.652,2,,,"LINESTRING (-97.1485285 33.2146603, -97.1484355 33.2146604)"
9540501670,2657172880,0,9978970,North Avenue B,residential,False,7.784,,,,"LINESTRING (-97.1484345 33.2147304, -97.1484355 33.2146604)"
9540501670,8593878454,0,9978970,North Avenue B,residential,False,24.431,,,,"LINESTRING (-97.1484345 33.2147304, -97.1484313 33.2149501)"
9545326164,5059238848,0,9970504,West Highland Street,unclassified,False,70.896,,,20 mph,"LINESTRING (-97.1538242 33.2093874, -97.1530622 33.2093806)"
9545357954,2972415293,0,437822208,West Highland Street,unclassified,True,2.317,,,20 mph,"LINESTRING (-97.1500453 33.2093537, -97.1500204 33.2093535)"
9546840640,3429340783,0,9980852,Avenue C,tertiary,True,112.978,,,,"LINESTRING (-97.150769 33.2104655, -97.1507787 33.2094495)"
9546840643,5115469343,0,9980856,Avenue C,tertiary,True,95.033,,,,"LINESTRING (-97.1506691 33.210626, -97.150658 33.2114806)"
9546840644,9546840640,0,9980852,Avenue C,tertiary,True,17.926,,,,"LINESTRING (-97.150767 33.2106267, -97.150769 33.2104655)"
9547025378,81976539,0,365519033,Avenue D,residential,False,11.12,,,,"LINESTRING (-97.1528922 33.211661, -97.1528922 33.211561)"
